CÓD. PROVINCIA     ;PROVINCIA          ;CÓD. MUNICIPIO     ;CÓD. MUNICIPIO     ;MUNICIPIO          ;CENSO              ;TOTAL VOTOS        ;TOTAL ABSTENCIÓN   ;VOTOS EN BRANCO    ;VOTOS NULOS        ;VOTOS A CANDIDATURAS;VOTOS VÁLIDOS      ;AUTONOMO (PARTIDO DE LOS AUTÓNOMOS Y PROFESIONALES);BNG(BLOQUE NACIONALISTA GALEGO) ;DPG (DEMOCRACIA PROGRESISTA GALEGA);EdeG (ESQUERDA DE GALICIA);FPG (FRENTE POPULAR GALEGA);IU-EU (ESQUERDA UNIDA-IZQUIERDA UNIDA);PH(PARTIDO HUMANISTA);PP (PARTIDO POPULAR);PSdeG-PSOE(PARTIDO DOS SOCIALISTAS DE GALICIA-PARTIDO SOCIALISTA OBRERO ESPAÑOL)  ;SDD(PARTIDO SOCIAL Y DEMOCRÁTICO DE DERECHO) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;76;76;San Sadurniño;3021;1890;1131;14;13;1863;1877;7;430;5;6;4;7;3;1113;288;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;77;77;Santa Comba;9095;6291;2804;66;49;6176;6242;11;1179;36;5;9;8;15;3903;1010;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;78;78;Santiago de Compostela;77692;50402;27290;1353;320;48729;50082;179;11673;173;261;92;310;180;25384;10477;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;79;79;Santiso;1984;1423;561;2;18;1403;1405;3;257;4;2;11;4;3;908;211;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;80;80;Sobrado;2189;1590;599;15;12;1563;1578;2;220;123;1;6;1;2;1028;180;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;81;81;Somozas (As);1292;1050;242;2;5;1043;1045;0;80;1;0;0;0;0;901;61;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;82;82;Teo;12318;8513;3805;198;64;8251;8449;35;2134;20;29;25;45;23;4390;1550;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;83;83;Toques;1416;1101;315;4;8;1089;1093;0;135;3;2;1;0;1;792;155;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;84;84;Tordoia;4243;2692;1551;20;10;2662;2682;2;514;3;1;1;3;5;1752;381;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;A Coruña                      ;85;85;Touro;4019;2769;1250;29;8;2732;2761;2;592;4;4;3;4;5;1759;359;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
